country,puntuacion
Australia,100
Portugal,100
US,100
Italy,100
France,100
Spain,98
Germany,98
Austria,97
Hungary,97
South Africa,95
England,95
Argentina,95
New Zealand,94
Chile,94
Canada,94
Morocco,93
India,93
Israel,93
Greece,93
Turkey,92
Georgia,92
Uruguay,92
Romania,92
Mexico,92
Bulgaria,91
Lebanon,91
Croatia,91
Moldova,91
Switzerland,90
Slovenia,90
Macedonia,89
Czech Republic,89
Luxembourg,89
Serbia,89
Cyprus,89
Brazil,88
Armenia,87
Slovakia,87
Peru,86
Bosnia and Herzegovina,85
Ukraine,84
